[SERVER] Radi na http://localhost:8080
[INFO] 2026-06-10T14:14:03.256Z | filteri: edge_detector | vreme: 586ms
[INFO] 2026-06-10T14:14:04.068Z | filteri: edge_detector | vreme: 593ms
[INFO] 2026-06-10T14:14:04.909Z | filteri: edge_detector | vreme: 539ms
[INFO] 2026-06-10T14:14:05.674Z | filteri: edge_detector | vreme: 580ms
[INFO] 2026-06-10T14:14:06.446Z | filteri: edge_detector | vreme: 553ms
[INFO] 2026-06-10T14:14:07.202Z | filteri: edge_detector | vreme: 511ms
[INFO] 2026-06-10T14:14:07.928Z | filteri: edge_detector | vreme: 598ms
[INFO] 2026-06-10T14:14:08.785Z | filteri: edge_detector | vreme: 458ms
[INFO] 2026-06-10T14:14:09.436Z | filteri: edge_detector | vreme: 455ms
[INFO] 2026-06-10T14:14:10.062Z | filteri: edge_detector | vreme: 466ms
[INFO] 2026-06-10T14:14:10.726Z | filteri: flip_vertical | vreme: 552ms
[INFO] 2026-06-10T14:14:11.501Z | filteri: flip_vertical | vreme: 601ms
[INFO] 2026-06-10T14:14:12.336Z | filteri: flip_vertical | vreme: 530ms
[INFO] 2026-06-10T14:14:13.071Z | filteri: flip_vertical | vreme: 567ms
[INFO] 2026-06-10T14:14:13.875Z | filteri: flip_vertical | vreme: 555ms
[INFO] 2026-06-10T14:14:14.686Z | filteri: flip_vertical | vreme: 585ms
[INFO] 2026-06-10T14:14:15.507Z | filteri: flip_vertical | vreme: 675ms
[INFO] 2026-06-10T14:14:16.504Z | filteri: flip_vertical | vreme: 592ms
[INFO] 2026-06-10T14:14:17.340Z | filteri: flip_vertical | vreme: 559ms
[INFO] 2026-06-10T14:14:18.136Z | filteri: flip_vertical | vreme: 540ms
[INFO] 2026-06-10T14:14:18.893Z | filteri: jarvis | vreme: 671ms
[INFO] 2026-06-10T14:14:19.798Z | filteri: jarvis | vreme: 653ms
[INFO] 2026-06-10T14:14:20.680Z | filteri: jarvis | vreme: 570ms
[INFO] 2026-06-10T14:14:21.445Z | filteri: jarvis | vreme: 591ms
[INFO] 2026-06-10T14:14:22.255Z | filteri: jarvis | vreme: 626ms
[INFO] 2026-06-10T14:14:23.110Z | filteri: jarvis | vreme: 624ms
[INFO] 2026-06-10T14:14:23.941Z | filteri: jarvis | vreme: 582ms
[INFO] 2026-06-10T14:14:24.734Z | filteri: jarvis | vreme: 619ms
